chunk_id,transcript_id,country,expert_name,expert_role,timestamp,question,speaker,answer,source_file
transcript_1_france_0018,transcript_1_france,France,Dr. Jean Martin,Head of Urology,00:18,"Thanks for joining. To begin, how would you describe robotic surgery adoption in France today?",Dr. Martin,"Adoption is growing, but it is still concentrated in larger academic hospitals and private centres with stronger capital budgets. Smaller regional hospitals are much slower.",Transcript_1_France.txt
transcript_1_france_0120,transcript_1_france,France,Dr. Jean Martin,Head of Urology,01:20,What is holding adoption back?,Dr. Martin,"The biggest issue is still capital budget approval. Hospitals may like the technology clinically, but purchasing committees need a strong economic case before approving a system.",Transcript_1_France.txt
transcript_1_france_0218,transcript_1_france,France,Dr. Jean Martin,Head of Urology,02:18,So ROI is important?,Dr. Martin,"Very important. The clinical argument may get surgeons interested, but the finance team wants to understand utilisation, procedure volume, maintenance cost and whether the system will actually pay for itself.",Transcript_1_France.txt
transcript_1_france_0310,transcript_1_france,France,Dr. Jean Martin,Head of Urology,03:10,What about training?,Dr. Martin,"Training matters, especially in the first year. If only one surgeon can use the system, the economics become difficult. Hospitals want several surgeons trained so utilisation is high enough.",Transcript_1_France.txt
transcript_1_france_0408,transcript_1_france,France,Dr. Jean Martin,Head of Urology,04:08,Are clinical outcomes still the main driver?,Dr. Martin,"Clinical outcomes are necessary, but they are not enough on their own. If two systems offer similar outcomes, the hospital will look hard at economics and utilisation.",Transcript_1_France.txt
transcript_1_france_0507,transcript_1_france,France,Dr. Jean Martin,Head of Urology,05:07,What do you expect over the next three to five years?,Dr. Martin,"I expect adoption to continue increasing, probably steadily rather than explosively. I would expect maybe 15 to 20 percent more procedures annually in some of the stronger centres, but smaller hospitals will remain slower.",Transcript_1_France.txt
transcript_1_france_0608,transcript_1_france,France,Dr. Jean Martin,Head of Urology,06:08,How long does a purchase decision normally take?,Dr. Martin,Six to twelve months is realistic once the hospital becomes serious. It can be longer if the capital committee pushes the purchase into the next budget cycle.,Transcript_1_France.txt
transcript_2_germany_0016,transcript_2_germany,Germany,Anna Keller,Former Hospital Procurement Director,00:16,How would you describe robotic surgery adoption in Germany today?,Anna Keller,"It is growing, but adoption is quite uneven. Large university hospitals are much more advanced, while many smaller hospitals are still waiting.",Transcript_2_Germany.txt
transcript_2_germany_0110,transcript_2_germany,Germany,Anna Keller,Former Hospital Procurement Director,01:10,What are the main barriers?,Anna Keller,"Cost is the first barrier. These are large capital purchases, and hospital finances are under pressure. The second issue is proving that the system will be used enough.",Transcript_2_Germany.txt
transcript_2_germany_0208,transcript_2_germany,Germany,Anna Keller,Former Hospital Procurement Director,02:08,What does procurement focus on?,Anna Keller,"We look at total cost of ownership, expected procedure volume, maintenance, service contracts and training requirements. A strong clinical case helps, but the economic case decides whether it gets approved.",Transcript_2_Germany.txt
